user_id,cycle_id,global_credit_limit
2358,15,75000
2358,18,150000
10504,21,150000
10504,16,75000
9948,14,75000
9948,16,150000
7021,12,200000
3022,7,150000
15747,18,75000
3177,12,500000
3177,8,150000
3557,7,150000
11176,17,75000
12745,21,150000
12745,19,75000
12786,19,75000
6679,20,200000
6679,7,150000
12272,18,75000
4544,7,150000
2275,7,150000
4875,10,150000
5390,15,75000
6753,12,150000
6238,11,150000
10356,16,75000
10356,21,150000
11014,17,75000
11014,19,150000
9533,12,150000
8964,14,75000
1065,15,75000
1193,15,75000
9709,15,75000
11009,14,75000
11009,18,150000
13030,14,75000
2780,15,75000
6951,12,200000
13246,20,75000
7109,14,75000
7109,21,150000
1521,7,150000
8346,14,75000
8346,16,150000
2135,7,150000
12697,19,75000
12697,21,150000
4611,9,150000
12071,19,150000
12071,14,75000
8600,11,150000
13177,20,75000
1802,7,150000
2778,15,75000
7122,12,200000
13864,20,75000
8093,7,150000
2670,15,75000
5887,9,150000
6387,11,150000
5654,10,150000
5292,10,150000
7876,15,75000
1715,7,150000
3003,7,150000
5145,10,150000
11820,18,75000
11820,19,150000
5013,15,75000
14112,21,150000
14112,20,75000
14251,21,75000
9343,15,75000
9343,16,150000
693,7,150000
14188,21,75000
15922,15,75000
10550,16,75000
10550,17,150000
485,7,150000
3220,7,150000
3569,7,50000
3569,9,150000
10177,21,150000
10177,15,75000
4537,9,150000
13608,14,75000
6894,7,150000
428,15,75000
1708,7,150000
4162,7,150000
13982,20,75000
11691,14,75000
11691,18,150000
5559,9,150000
6077,11,150000
9600,15,200000
4728,7,150000
1766,15,75000
4383,15,75000
3552,7,150000
8582,18,150000
8582,14,75000
11071,17,75000
3629,9,150000
7393,10,150000
9750,15,75000
14481,21,75000
10909,18,150000
10909,16,75000
259,7,150000
11839,18,150000
11839,15,75000
12487,18,75000
12487,19,150000
13600,15,75000
6245,7,150000
15605,22,100000
11896,15,75000
11896,18,150000
4760,9,150000
14801,14,75000
5194,10,150000
14795,22,75000
12095,15,75000
12095,19,150000
4379,15,75000
13403,15,200000
11299,17,75000
145,7,200000
11899,15,200000
7299,12,150000
10584,16,75000
5097,15,75000
8604,7,150000
11254,17,75000
11254,21,150000
12441,15,200000
11133,15,75000
11133,18,150000
2167,7,150000
12848,15,75000
632,7,150000
5361,10,150000
5455,7,150000
15239,22,100000
2852,15,150000
2852,7,50000
3147,7,150000
14422,21,75000
12635,21,150000
12635,19,75000
6226,11,150000
13955,21,150000
13955,18,75000
4595,9,150000
2790,15,75000
4770,7,150000
5921,10,150000
12070,15,75000
12070,19,150000
3731,7,50000
12601,15,75000
12601,19,150000
8620,11,150000
6566,6,750000
6661,9,150000
7384,7,150000
7232,12,200000
10920,15,75000
10920,17,150000
5132,15,75000
2306,7,150000
589,15,75000
589,18,150000
5807,10,150000
5426,10,150000
5426,15,200000
11384,17,75000
10412,17,150000
10412,15,75000
5924,10,150000
14712,22,75000
3162,7,50000
3162,8,150000
8546,14,75000
8546,17,150000
8546,18,200000
496,7,150000
13161,20,75000
9432,15,200000
9039,16,150000
9039,14,75000
345,7,150000
8016,13,75000
8016,15,150000
8646,16,150000
8646,19,200000
8646,14,75000
14800,15,200000
1006,19,150000
1006,14,75000
15231,22,100000
4643,7,150000
4643,17,200000
7746,10,150000
15535,22,100000
9008,16,150000
9008,14,75000
15985,22,100000
8078,13,150000
5276,15,75000
15244,22,100000
12214,18,75000
12214,19,150000
543,15,75000
543,19,150000
5634,10,150000
5174,15,75000
757,7,150000
177,7,200000
177,11,500000
4348,19,150000
4348,15,75000
14185,21,75000
4484,9,150000
1104,7,150000
6948,12,200000
13259,20,75000
12933,14,75000
8687,16,150000
8687,14,75000
