failure_event_id,transaction_id,user_id,failure_type,amount_in_paise,created_at
1,56,5,error1,7000,2015-12-18 06:55:41.84924 +0000 +0000
2,63,183,error1,13000,2016-01-06 12:11:19.504704 +0000 +0000
3,64,183,error1,13000,2016-01-06 12:13:28.760053 +0000 +0000
4,65,183,error1,13000,2016-01-06 12:35:36.668034 +0000 +0000
5,66,183,error1,13000,2016-01-06 12:42:44.678453 +0000 +0000
6,67,183,error1,13000,2016-01-06 12:48:36.432596 +0000 +0000
7,70,183,error1,13000,2016-01-06 13:42:32.778084 +0000 +0000
8,71,183,error1,13000,2016-01-06 13:44:04.622512 +0000 +0000
9,72,183,error1,13000,2016-01-06 13:44:27.483276 +0000 +0000
10,73,183,error2,13000,2016-01-06 13:46:18.115524 +0000 +0000
11,74,183,error2,13000,2016-01-06 13:48:12.259767 +0000 +0000
12,75,183,error2,13000,2016-01-06 13:50:51.854878 +0000 +0000
13,76,183,error2,13000,2016-01-06 13:51:49.598237 +0000 +0000
14,82,183,error2,11800,2016-01-07 15:13:14.863088 +0000 +0000
15,89,13,error1,11800,2016-01-15 17:33:08.115537 +0000 +0000
16,94,13,error1,11800,2016-01-17 15:03:21.461799 +0000 +0000
17,103,28,error1,20000,2016-01-18 10:05:16.057727 +0000 +0000
18,104,28,error2,20000,2016-01-18 10:06:20.829168 +0000 +0000
19,106,28,error2,20000,2016-01-18 12:20:40.546294 +0000 +0000
20,107,28,error2,20000,2016-01-18 12:21:19.393746 +0000 +0000
21,109,28,error2,2000,2016-01-21 07:44:30.56223 +0000 +0000
22,125,2,error2,44700,2016-01-26 04:21:30.422597 +0000 +0000
23,138,2,error2,4600,2016-01-26 09:02:34.91151 +0000 +0000
24,144,2,error1,22400,2016-01-27 07:32:21.060976 +0000 +0000
25,201,16,error2,14100,2016-02-02 05:26:14.5848 +0000 +0000
26,205,148,error1,14200,2016-02-02 06:48:13.904966 +0000 +0000
27,207,148,error1,17700,2016-02-02 06:50:37.568814 +0000 +0000
28,206,148,error2,17700,2016-02-02 06:50:31.366059 +0000 +0000
29,210,6,error2,108400,2016-02-02 11:48:02.980408 +0000 +0000
30,224,13,error2,10700,2016-02-03 07:47:50.511155 +0000 +0000
31,225,13,error2,10700,2016-02-03 07:48:00.958986 +0000 +0000
32,226,6,error2,38100,2016-02-03 09:06:48.744943 +0000 +0000
33,232,179,error3,967900,2016-02-03 13:06:55.640086 +0000 +0000
34,245,185,error1,16400,2016-02-05 04:30:06.392967 +0000 +0000
35,246,185,error1,16400,2016-02-05 04:30:48.854111 +0000 +0000
36,260,13,error2,3300,2016-02-06 05:55:05.528898 +0000 +0000
37,264,197,error3,921900,2016-02-06 11:53:24.771841 +0000 +0000
38,270,183,error2,50300,2016-02-06 15:44:41.795372 +0000 +0000
39,271,183,error2,50300,2016-02-06 15:53:50.314281 +0000 +0000
40,279,185,error1,23300,2016-02-07 14:00:12.599576 +0000 +0000
41,302,197,error4,296900,2016-02-09 15:52:56.261593 +0000 +0000
42,302,197,error4,296900,2016-02-10 06:48:35.428173 +0000 +0000
43,310,197,error3,10454900,2016-02-10 07:09:56.490596 +0000 +0000
44,312,177,error1,21900,2016-02-10 08:50:36.619057 +0000 +0000
45,320,182,error1,18800,2016-02-10 16:31:30.971455 +0000 +0000
46,327,3252,error3,59000,2016-02-11 03:58:06.667152 +0000 +0000
47,302,197,error4,296900,2016-02-11 05:19:43.257152 +0000 +0000
48,336,179,error4,111400,2016-02-11 05:41:22.150128 +0000 +0000
49,334,13,error2,14500,2016-02-11 05:15:03.24978 +0000 +0000
50,302,197,error4,296900,2016-02-11 05:40:44.622532 +0000 +0000
51,336,179,error5,111400,2016-02-12 05:52:30.036692 +0000 +0000
52,386,3105,error3,27500,2016-02-12 15:44:14.910221 +0000 +0000
53,422,2758,error3,357900,2016-02-13 11:47:04.429493 +0000 +0000
54,430,211,error3,37400,2016-02-13 15:15:08.226248 +0000 +0000
55,432,211,error3,18700,2016-02-13 15:17:05.91116 +0000 +0000
56,433,211,error3,15100,2016-02-13 15:18:10.450351 +0000 +0000
57,467,13,error2,12900,2016-02-14 04:51:50.669021 +0000 +0000
58,468,13,error2,12900,2016-02-14 04:52:29.400809 +0000 +0000
59,495,3259,error3,116900,2016-02-14 07:58:46.63121 +0000 +0000
60,498,3029,error1,15600,2016-02-14 08:11:03.8969 +0000 +0000
