id,user_id,cycle_id,settlement_amount,settlement_status,days_delayed,bill_created_at,settled_at
31096,1738,21,190500,onetime_settlement,,,2016-09-15 15:29:45.245929 +0000 +0000
29135,6055,20,138900,bill_settled,14.9664678,2016-08-31 16:16:00.874006 +0000 +0000,2016-09-15 15:27:43.69227 +0000 +0000
27995,10630,20,43100,bill_settled,14.98544889,2016-08-31 15:47:52.453709 +0000 +0000,2016-09-15 15:26:55.238252 +0000 +0000
31095,5766,21,75300,onetime_settlement,,,2016-09-15 15:26:20.622842 +0000 +0000
28720,12416,20,38000,bill_settled,14.97187502,2016-08-31 16:05:29.841341 +0000 +0000,2016-09-15 15:24:59.843029 +0000 +0000
28815,13371,20,14400,bill_settled,14.96811778,2016-08-31 16:07:39.286497 +0000 +0000,2016-09-15 15:21:44.661884 +0000 +0000
29587,13172,20,26400,bill_settled,14.95331053,2016-08-31 16:27:01.547579 +0000 +0000,2016-09-15 15:19:47.578431 +0000 +0000
29529,7199,20,11900,bill_settled,14.95354258,2016-08-31 16:25:42.429186 +0000 +0000,2016-09-15 15:18:48.508396 +0000 +0000
27522,12228,20,17700,bill_settled,14.98678877,2016-08-31 15:35:59.890669 +0000 +0000,2016-09-15 15:16:58.44068 +0000 +0000
29331,10216,20,49700,bill_settled,14.95306711,2016-08-31 16:20:46.730927 +0000 +0000,2016-09-15 15:13:11.72906 +0000 +0000
28456,10585,20,30200,bill_settled,14.96760309,2016-08-31 15:58:49.438891 +0000 +0000,2016-09-15 15:12:10.346491 +0000 +0000
31094,13439,21,23300,onetime_settlement,,,2016-09-15 15:11:54.071178 +0000 +0000
31093,2875,21,31900,onetime_settlement,,,2016-09-15 15:10:08.857486 +0000 +0000
28506,11032,20,30000,bill_settled,14.96486483,2016-08-31 16:00:20.173302 +0000 +0000,2016-09-15 15:09:44.494058 +0000 +0000
31092,14269,21,56900,onetime_settlement,,,2016-09-15 15:09:11.348649 +0000 +0000
31090,9529,21,103200,onetime_settlement,,,2016-09-15 15:07:59.890355 +0000 +0000
31091,7788,21,40900,onetime_settlement,,,2016-09-15 15:07:57.953325 +0000 +0000
28536,7167,20,36000,bill_settled,14.96164696,2016-08-31 16:00:58.622097 +0000 +0000,2016-09-15 15:05:44.91859 +0000 +0000
31089,13969,21,117300,onetime_settlement,,,2016-09-15 15:03:44.316509 +0000 +0000
27971,9505,20,53326,bill_settled,14.96885838,2016-08-31 15:47:05.312642 +0000 +0000,2016-09-15 15:02:14.677421 +0000 +0000
31088,1114,21,68100,onetime_settlement,,,2016-09-15 15:02:09.541325 +0000 +0000
29311,8782,20,28300,bill_settled,14.94410998,2016-08-31 16:20:20.338141 +0000 +0000,2016-09-15 14:59:51.439776 +0000 +0000
31087,13257,21,43300,onetime_settlement,,,2016-09-15 14:58:22.049944 +0000 +0000
28620,8202,20,55200,bill_settled,14.95494993,2016-08-31 16:03:04.0244 +0000 +0000,2016-09-15 14:58:11.697787 +0000 +0000
31086,13783,21,74700,onetime_settlement,,,2016-09-15 14:55:46.474999 +0000 +0000
27511,4054,20,39300,bill_settled,14.97203907,2016-08-31 15:35:42.615394 +0000 +0000,2016-09-15 14:55:26.791375 +0000 +0000
28492,12692,20,56500,bill_settled,14.95387918,2016-08-31 15:59:47.541731 +0000 +0000,2016-09-15 14:53:22.703417 +0000 +0000
29972,11754,20,27200,bill_settled,14.92820639,2016-08-31 16:36:40.307928 +0000 +0000,2016-09-15 14:53:17.340256 +0000 +0000
